Informazioni cronologiche,"Se vuoi, dimmi il tuo NOME",TIPOLOGIA,LINE DANCE,CONTRA DANCE,COUPLE/CIRCLE DANCE,COREOGRAFO,David Villelas,Fabio Terzoni,Gianni Hook Valassi,Isabella Ghinolfi,Johnny Rossato,Pino Piromalli,Pol F. Ryan,Teo Lattanzio,Stefano Civa,Aurora Profumo,Algaly Fofana,Adriano Castagnoli,Valentina Trigila,Sofia Balzano,Deborah Ricagni,Jgor Pasin,Dan Albro,Fabian Muller,Maddison Glover,Maggie Ghallager,Rob Fowler,Séverine Fillion,Silvia Denise Staiti,Alessandro Boer,Coreo 0 - 9,Coreo A - F,Coreo G - M,Coreo N - Z
27/08/2026 20.24.09,Giorgia,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOOTLOOSE,,
27/08/2026 20.24.37,Giulia,Coreo N - Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WHITE SOLDIER
27/08/2026 20.25.29,Giorgia,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEAR LIFE,,
27/08/2026 20.26.26,Marco,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACK DOWN,,
27/08/2026 20.28.39,,Line dance (elenco completo),ALL SHOOK UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 20.34.46,,Coreo N - Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOUR IN MEXICO
27/08/2026 20.36.10,,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASANOVA COWBOY,,
27/08/2026 20.36.33,,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEEK TO CHEEK,,
27/08/2026 20.37.09,,Coreo N - Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE MORE
27/08/2026 20.41.53,,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMERICAN KIDS,,
27/08/2026 20.42.39,,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACK TO THE START,,
27/08/2026 20.43.05,Lucy,Line dance (elenco completo),THREE TEACHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 20.45.13,Giovanna,Line dance (elenco completo),AMERICAN KIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 20.53.55,,Coreo G - M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT'S AMERICA,
27/08/2026 20.54.38,,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DANCING VIOLINS,,
27/08/2026 20.54.49,Rosalba,Line dance (elenco completo),WILD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 20.55.07,,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOCTOR DOCTOR,,
27/08/2026 20.55.31,,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHILL FACTOR,,
27/08/2026 20.55.51,,Coreo G - M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ME AND JOHNNY CASH,
27/08/2026 20.55.51,,Line dance (elenco completo),ASKIN' QUESTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2026 20.56.15,,Coreo G - M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KILL THE SPIDERS,
27/08/2026 20.56.19,,Coreo N - Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETRO
27/08/2026 20.56.52,,Coreo A - F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASKIN' QUESTIONS,,
27/08/2026 20.57.11,,Coreo N - Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNTAMED
27/08/2026 20.57.45,,Coreo N - Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YA COME DOWN
