Codice Regione,Codice Città Metropolitana,Codice Provincia (1),Progressivo del Comune (2),Codice Comune formato alfanumerico,Denominazione in italiano,Denominazione altra lingua,Codice Ripartizione Geografica,Ripartizione geografica,Denominazione regione,Denominazione Città metropolitana,Denominazione provincia,Flag Comune capoluogo di provincia,Sigla automobilistica,Codice Comune formato numerico,Codice Comune numerico con 110 province (dal 2010 al 2016),Codice Comune numerico con 107 province (dal 2006 al 2009),Codice Comune numerico con 103 province (dal 1995 al 2005),Codice Catastale del comune,Popolazione legale 2011 (09/10/2011),Codice NUTS1 2010,Codice NUTS2 2010 (3),Codice NUTS3 2010,Codice NUTS1 2006,Codice NUTS2 2006 (3),Codice NUTS3 2006
01,201,001,001,001001,Agliè,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1001,1001,1001,1001,A074,2.644,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,002,001002,Airasca,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1002,1002,1002,1002,A109,3.819,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,003,001003,Ala di Stura,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1003,1003,1003,1003,A117,462,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,004,001004,Albiano d'Ivrea,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1004,1004,1004,1004,A157,1.791,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,005,001005,Alice Superiore,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1005,1005,1005,1005,A199,701,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,006,001006,Almese,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1006,1006,1006,1006,A218,6.303,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,007,001007,Alpette,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1007,1007,1007,1007,A221,277,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,008,001008,Alpignano,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1008,1008,1008,1008,A222,16.893,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,009,001009,Andezeno,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1009,1009,1009,1009,A275,1.966,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,010,001010,Andrate,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1010,1010,1010,1010,A282,512,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,011,001011,Angrogna,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1011,1011,1011,1011,A295,870,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,012,001012,Arignano,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1012,1012,1012,1012,A405,1.039,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,013,001013,Avigliana,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1013,1013,1013,1013,A518,12.129,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,014,001014,Azeglio,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1014,1014,1014,1014,A525,1.347,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,015,001015,Bairo,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1015,1015,1015,1015,A584,816,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,016,001016,Balangero,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1016,1016,1016,1016,A587,3.161,ITC,ITC1,ITC11,ITC,ITC1,ITC11
01,201,001,017,001017,Baldissero Canavese,,1,Nord-ovest,Piemonte,Torino,-,0,TO,1017,1017,1017,1017,A590,534,ITC,ITC1,ITC11,ITC,ITC1,ITC11
