"rootPath","scannedAt","relativePath","fileName","baseName","fullPath","extension","size","modifiedAt"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(16 STEPS-ELECTRIC STOMP-WESTERN STYLE) - Louisiana.mp3","(16 STEPS-ELECTRIC STOMP-WESTERN STYLE) - Louisiana.mp3","(16 STEPS-ELECTRIC STOMP-WESTERN STYLE) - Louisiana","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(16 STEPS-ELECTRIC STOMP-WESTERN STYLE) - Louisiana.mp3",".mp3","5474810","2025-03-03T19:21:36.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(BLACK COFFEE) Last Christmas.mp3","(BLACK COFFEE) Last Christmas.mp3","(BLACK COFFEE) Last Christmas","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(BLACK COFFEE) Last Christmas.mp3",".mp3","5983499","2025-03-03T19:17:42.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(BLACK COFFEE) Mariah Carey-All I Want For Christmas Is You.mp4","(BLACK COFFEE) Mariah Carey-All I Want For Christmas Is You.mp4","(BLACK COFFEE) Mariah Carey-All I Want For Christmas Is You","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(BLACK COFFEE) Mariah Carey-All I Want For Christmas Is You.mp4",".mp4","6997364","2025-03-03T19:17:40.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(BLACK COFFEE)-shania_twain-party_for_two_(with_billy_currington)-ego.mp3","(BLACK COFFEE)-shania_twain-party_for_two_(with_billy_currington)-ego.mp3","(BLACK COFFEE)-shania_twain-party_for_two_(with_billy_currington)-ego","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(BLACK COFFEE)-shania_twain-party_for_two_(with_billy_currington)-ego.mp3",".mp3","5976980","2025-03-03T19:17:42.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(BUDDY)-One step forward.mp3","(BUDDY)-One step forward.mp3","(BUDDY)-One step forward","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(BUDDY)-One step forward.mp3",".mp3","5855107","2025-03-03T19:17:44.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(CANDY KISS)  Bottoms Up (feat. T.I.) [Remix] copia.mp4","(CANDY KISS)  Bottoms Up (feat. T.I.) [Remix] copia.mp4","(CANDY KISS)  Bottoms Up (feat. T.I.) [Remix] copia","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(CANDY KISS)  Bottoms Up (feat. T.I.) [Remix] copia.mp4",".mp4","6516548","2025-03-03T19:17:46.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(CANDY KISSES-SWEET HOME ALABAMA) Sweet Home Alabama.mp3","(CANDY KISSES-SWEET HOME ALABAMA) Sweet Home Alabama.mp3","(CANDY KISSES-SWEET HOME ALABAMA) Sweet Home Alabama","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(CANDY KISSES-SWEET HOME ALABAMA) Sweet Home Alabama.mp3",".mp3","8531014","2025-03-03T19:17:46.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(CHEYENNE-ELECTRIC SLIDE) Santas Gonna Take It All Back.mp3","(CHEYENNE-ELECTRIC SLIDE) Santas Gonna Take It All Back.mp3","(CHEYENNE-ELECTRIC SLIDE) Santas Gonna Take It All Back","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(CHEYENNE-ELECTRIC SLIDE) Santas Gonna Take It All Back.mp3",".mp3","4695629","2025-03-03T19:18:42.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(CHEYENNE-START THE CAR- BLACK COFFEE) Why Couldn't It Be Christmas Everyday_.mp4","(CHEYENNE-START THE CAR- BLACK COFFEE) Why Couldn't It Be Christmas Everyday_.mp4","(CHEYENNE-START THE CAR- BLACK COFFEE) Why Couldn't It Be Christmas Everyday_","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(CHEYENNE-START THE CAR- BLACK COFFEE) Why Couldn't It Be Christmas Everyday_.mp4",".mp4","9097824","2025-03-03T19:17:44.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(CHEYENNE) - Feels just like a love song.mp3","(CHEYENNE) - Feels just like a love song.mp3","(CHEYENNE) - Feels just like a love song","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(CHEYENNE) - Feels just like a love song.mp3",".mp3","3188604","2025-03-03T19:17:54.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(CHOP CHOP) Chop - Bruno LeGrizzly .mp4","(CHOP CHOP) Chop - Bruno LeGrizzly .mp4","(CHOP CHOP) Chop - Bruno LeGrizzly ","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(CHOP CHOP) Chop - Bruno LeGrizzly .mp4",".mp4","9027611","2025-03-03T19:18:48.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(COTTON EYE JOE) Rednex- Cotton Eye Joe.mp4","(COTTON EYE JOE) Rednex- Cotton Eye Joe.mp4","(COTTON EYE JOE) Rednex- Cotton Eye Joe","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(COTTON EYE JOE) Rednex- Cotton Eye Joe.mp4",".mp4","7398627","2025-03-03T19:19:36.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\(CUT A RUG) Roxanne's Bayou.mp4","(CUT A RUG) Roxanne's Bayou.mp4","(CUT A RUG) Roxanne's Bayou","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\(CUT A RUG) Roxanne's Bayou.mp4",".mp4","7308501","2025-03-03T19:20:16.000Z"
