Colonna 1;Colonna 2;ID;coreografia;brano;autore;richieste;info livello;info coreo 1;info coreo 2;studiate;coreografo;collaboratori;descrizione coreo
;;001;101;lost in the shuffle;michael peterson;;BASE;;;STUDIATA;Peter Metelnick;;32 conteggi 4 muri
;;002;1540;what the heaven;kyle park;;ALTRE COREO;;;;;;
;;003;16 BARS;16 bars;the southern gothic;;ALTRE COREO;;;;;;
;;004;16 STEPS;crime of the century;shania twain;;ALTRE COREO;COPPIA;CERCHIO;;;;
;;005;16 TONS;sixteen tons;tennessee ernie ford;;ALTRE COREO;;;;;;
;;006;19 FOREVER;19 forever;granger smith;;ALTRE COREO;;;;;;
;;007;1929;1929;tara oram;;SUPER AVANZATO 1+2;;;;Sonia Hemmes;;64 conteggi 4 muri
;;008;3 FLICKS;1 2 3;ann tayler;;AVANZATO 2;;;STUDIATA;David Villelas;Pol F. Ryan David Prestor;64 conteggi 4 muri 3 tag 1 restart
;;009;3 G;get it got it god;billy gilman;;ALTRE COREO;;;;Teo Lattanzio;;
;;010;3 M;miss me more;kelsea ballerini;;ALTRE COREO;;;;;;
;;011;3 TEQUILA FLOOR;3 tequila floor;josiah siska;;SUPER AVANZATO 1+2;;;;Maddison Glover;;
;;012;50 SHOTS;shoulda;kylie morgan;;ALTRE COREO;;;;;;
;;013;8 BALLS;outback booty call;8 ball aitken;;ALTRE COREO;;;;;;
;;014;99 BOTTLES;99 bottles;zane williams;;SUPER AVANZATO 1+2;;;;;;
;;015;A BAR SONG;a bar song (tipsy);shaboozey;;INTERMEDIO;;;STUDIATA;Ben Murphy;;32 conteggi 4 muri (Tag di 4 conteggi alla fine 10° muro)
;;016;A DIFFERENT SUMMER;nothing that a beer can't fix;thomas rhett;;ALTRE COREO;;;;Neus Llioveras;Lourdes Martin;32 conteggi 2 muri
;;017;A SWING TO QUIT;whole lotta quit;randy houser;;SUPER AVANZATO 1+2;;;;;;
;;018;AA;aa;walker hayes;;BASE;;;STUDIATA;Linda Scott;;32 conteggi 4 muri
;;019;AFTER MIDNIGHT;walkin' after midnight;the groovegrass boyz;;ALTRE COREO;;;;;;
;;020;AFTERGLOW;paradise;thomas rhett;;AVANZATO 2;;;;Pol F. Ryan;;32 conteggi 2 muri 3 tag 4 restart
;;021;ALL NIGHT LONG;you shock me all night long;steve' n' seagulls;;ALTRE COREO;;;;;;
;;022;ALL SHOOK UP;all shook up;billy joel;;INTERMEDIO;;;STUDIATA;Naomi Fleetwood Pyle;;80 conteggi 1 muro [Sequenza AB ABC ABC ABC]
;;023;ALL TO MYSELF;all to myself;dan + shy;;AVANZATO 1;;;STUDIATA;Séverine Fillion;;32 conteggi 2 muri [Tag alla fine del 2° del 4° e del 6° muro]
;;024;ALTITUDE;altitude;jarrod morris;;SUPER AVANZATO 1+2;;;;;;
;;025;AMERICAN KIDS;american kids;kenny chesney;;BASE;;;STUDIATA;Randy Pelletier;;32 conteggi 4 muri 1 restart al 6° muro dopo 16 conteggi
;;026;ANGEL & CORONA;look what gone god gave her;thomas rhett;;AVANZATO 1;;;;Darren Bailey;Kate Sala Guylaine Bourdages Roy Verdonk;48 conteggi 2 muri
;;027;ANTHEM;anthem;brett kissel;;AVANZATO 2;;;STUDIATA;Johnny Rossato;;48 conteggi 2 muri
;;028;ANYWAY;she loves me anyway;chancey williams;;ALTRE COREO;;;;;;
;;029;AROUND THE FIRE;old country barn;james johnston;;ALTRE COREO;;;;;;
;;030;ASKIN' QUESTIONS;askin' questions;brady seals;;INTERMEDIO;;;STUDIATA;Larry Bass;;32 conteggi 4 muri
;;031;AUSTIN;austin;dasha;;AVANZATO 2;;;;Pol F. Ryan;;32 conteggi 2 muri
;;032;AUTHORITY;authority song;chancey williams;;ALTRE COREO;;;;Mario Hollnsteiner;;
;;033;AW NAW;aw naw;chris young;;ALTRE COREO;;;;Jgor Pasin;;
;;034;BACK DOWN;break it back down;pat green;;INTERMEDIO;;;STUDIATA;Gianni Hook Valassi;;32 conteggi 4 muri (1 restart al 10° muro dopo 16 contegggi)
;;035;BAD;bad bad leroy brown;jim croce;;ALTRE COREO;;;;Gianni Hook Valassi;;
;;036;BEAUTIFUL DRUG;beautiful drug;zac brown band;;ALTRE COREO;;;;Pino Piromalli;Nadia Gandin;32 conteggi 2 muri
;;037;BEER FOR MY HORSES;beer for my horses;toby keith & willie nelson;;BASE;;;RECENTE;Christine Bass;;40 conteggi 4 muri
;;038;BEETHOVEN'S BOOGIE;boogie and beethoven;the gatlin brothers band;;ALTRE COREO;;;;;;
;;039;BEST ADVENTURE;best adventure;leaving thomas;;ALTRE COREO;;;;Johnny Rossato;;
;;040;BETTER COUNTRY;better country;paul brandt;;INTERMEDIO;;;STUDIATA;Pino Piromalli;Isabella Ghinolfi;32 conteggi 2 muri
;;041;BILL'S BASIC;i don't need the booze;alan jackson;;BASE;STAGE;;STUDIATA;Bill Ray;;16 conteggi 4 muri
;;042;BILL'S BASIC;lord have marcy on a country boy;josh turner;;BASE;STAGE;;STUDIATA;Bill Ray;;16 conteggi 4 muri
;;043;BILL'S BASIC;somebody take me home;kenny chesney;;BASE;STAGE;;STUDIATA;Bill Ray;;16 conteggi 4 muri
;;044;BILL'S BASIC;winter wonderland;brad paisley;;BASE;NATALIZIA;;STUDIATA;Bill Ray;;16 conteggi 4 muri
;;045;BILLBOARD ;name on a billboard;charley crockett;;SUPER AVANZATO 3;;;;;;
;;046;BLACK COFFEE;all i want for christmas is you;mariah carey;;BASE;NATALIZIA;;STUDIATA;Helen O'Malley;;32 conteggi 4 muri
;;047;BLACK COFFEE;black coffee;lacy j dalton;;BASE;;;STUDIATA;Helen O'Malley;;32 conteggi 4 muri
;;048;BLACK COFFEE;last christmas;taylor swift;;BASE;NATALIZIA;;STUDIATA;Helen O'Malley;;32 conteggi 4 muri
;;049;BLACK COFFEE;party for two;shania twain feat. billy currington;;BASE;;;STUDIATA;Helen O'Malley;;32 conteggi 4 muri
;;050;BLACK COFFEE;some town somewhere;kenny chesney;;BASE;;;STUDIATA;Helen O'Malley;;32 conteggi 4 muri
;;051;BLACK COFFEE;the salt in my tears;dolly parton;;BASE;;;STUDIATA;Helen O'Malley;;32 conteggi 4 muri
;;052;BLACK COFFEE;undone;dean brody;;BASE;;;STUDIATA;Helen O'Malley;;32 conteggi 4 muri
;;053;BLACK COFFEE;why couldn't be christmas everyday?;bianca ryan;;BASE;NATALIZIA;;STUDIATA;Helen O'Malley;;32 conteggi 4 muri
;;054;BOOMERANG;i'm still falling;slow horses;;ALTRE COREO;;;;;;
;;055;BOOTY TO THE FLOOR;daisy dukes and cowboy boots;cowboy troy;;ALTRE COREO;;;;;;
;;056;BOOZE CRUISE;the booze cruise;blackjack billy;;AVANZATO 1;;;;Donna Manning;;32 conteggi 2 muri
;;057;BORN FREE;born free;kid rock;;ALTRE COREO;;;;;;
;;058;BORN TO BE GREAT;some town somewhere;kenny chesney;;ALTRE COREO;;;;Teo Lattanzio;;
;;059;BORROW MY HEART;borrow my heart;taylor henderson;;SUPER AVANZATO 1+2;;;;Teo Lattanzio;;
;;060;BRING DOWN THE HOUSE;bring down the house;dean brody;;AVANZATO 1;;;;Sthépane Cormier;Denis Henley;32 conteggi 4 muri 
;;061;BROKEN HEELS;broken heels;alexandra burke;;AVANZATO 2;;;;Jo Kinser;Jhon Kinser Mark Fummel;64 conteggi 2 muri
;;062;BRUNCH;good people;josh grider;;ALTRE COREO;;;;Pol F. Ryan;;Intro 32 counts A64c Tag8c Final 2 muri
;;063;BUDDY;one step forward;desert rose band;;BASE;;;STUDIATA;Bruno Moggia;;32 conteggi 2 muri
;;064;BUILD A FIRE;build a fire;the wanderings hearts;;AVANZATO 2;;;;Stefano Civa;;32 conteggi 2 muri 2 tag 1 restart 1 final
;;065;BURNIN' UP;i hope it's me;brett kissel;;ALTRE COREO;;;;;;
;;066;BURNING LOVE;burning love;travis tritt;;INTERMEDIO;;;STUDIATA;Christian Sildatke;;32 conteggi 4 muri
;;067;BURNING THE DAY;firefly;east love;;ALTRE COREO;;;;Teo Lattanzio;;
;;068;BUSH PARTY;bush party;dean brody;;INTERMEDIO;;;STUDIATA;Valentina Trigila;;32 conteggi 4 muri [2 Restart il 1° al 5° muro dopo 24 counts ed il 2° al 10° muro dopo 16 conteggi]
;;069;BY AND BY;by and by;the olson band;;ALTRE COREO;;;;;;
;;070;CABO SAN LUCAS;all i want for christmas is a real good than;kenny chesney;;INTERMEDIO;NATALIZIA;;STUDIATA;Reo Ghazali;;32 conteggi 4 muri
;;071;CABO SAN LUCAS;cabo san lucas;toby keith;;INTERMEDIO;;;STUDIATA;Reo Ghazali;;32 conteggi 4 muri
;;072;CANDY KISSES;bottoms up;brantley gilbert;;BASE;;;RECENTE;Unknown;;24 conteggi 4 muri
;;073;CANDY KISSES;kick the dust up;luke bryan;;BASE;;;RECENTE;Unknown;;24 conteggi 4 muri
;;074;CANDY KISSES;sweet home alabama;lynyrd skynyrd;;BASE;;;RECENTE;Unknown;;24 conteggi 4 muri
;;075;CASTAWAY;castaway;zac brown band;;ALTRE COREO;COPPIA;CERCHIO;;;;
;;076;CENTURION;my heart's broke down;dean miller;;AVANZATO 1;;;RECENTE;Rob Fowler;;[100 conteggi] 4 muri 1 restart 1 tag (3°muro restart dopo 48 counts) (4°muro tag di 98 conteggi dopo)
;;077;CHA CHA SLIDE;cha cha slide;dj casper;;ALTRE COREO;;;;;;
;;078;CHANGING DANCE BARN DANCE;all over again;the mavericks;;BASE;COPPIA;CERCHIO;STUDIATA;;;(couple and circle)
;;079;CHANGING DANCE BARN DANCE;dance the night away;the mavericks;;BASE;COPPIA;CERCHIO;STUDIATA;;;(couple and circle)
;;080;CHANGING POLKA;oh suzanna;yamboo;;ALTRE COREO;TRE PERSONE;;STUDIATA;Unknown;;
;;081;CHASING DOWN A GOOD TIME;chasing down a good time;randy houser;;AVANZATO 1;;;STUDIATA;Dan Albro;;48 conteggi 4 muri [Al 3° muro Tag dopo 14 conteggi]
;;082;CHECK IN;stay in your line;hinterland;;SUPER AVANZATO 3;;;;;;
;;083;CHECK IT OUT;check it out;on the larceny;;ALTRE COREO;;;;;;
;;084;CHEEK TO CHEEK;bailando;enrique iglesias;;ALTRE COREO;;;;;;
;;085;CHEEK TO CHEEK;stuck like glue;sugarland;;AVANZATO 1;;;;Rob Fowler;;64 conteggi 2 muri 
;;086;CHEERLEADER;cheerleader;omi;;BASE;;;RECENTE;Stefan Schutzer;;32 conteggi 4 muri [restart al 2° e 5° muro dopo 16 conteggi]
;;087;CHEYENNE;cadillac tears;kevin denney;;BASE;;;STUDIATA;Unknown;;24 conteggi 4 muri
;;088;CHEYENNE;feels just liken a love song;sara evans;;BASE;;;STUDIATA;Unknown;;24 conteggi 4 muri
;;089;CHEYENNE;i'm gonna getcha good;shania twain;;BASE;;;STUDIATA;Unknown;;24 conteggi 4 muri
;;090;CHEYENNE;mamma mia;elena feat glance;;BASE;;;STUDIATA;Unknown;;24 conteggi 4 muri
;;091;CHEYENNE;original ghostbusters theme song;ray parker jr;;BASE;HALLOWEEN;;STUDIATA;Unknown;;24 conteggi 4 muri
;;092;CHEYENNE;santa's gonna take it all black;toby keith;;BASE;NATALIZIA;;STUDIATA;Unknown;;24 conteggi 4 muri
;;093;CHEYENNE;the big one;george strait;;BASE;;;STUDIATA;Unknown;;24 conteggi 4 muri
;;094;CHEYENNE;up;shania twain;;BASE;;;STUDIATA;Unknown;;24 conteggi 4 muri
;;095;CHEYENNE;white christmas;giuliano palma;;BASE;NATALIZIA;;STUDIATA;Unknown;;24 conteggi 4 muri
;;096;CHEYENNE'S ROCK;it's late;shakin' stevens;;ALTRE COREO;;;;Séverine Fillion;;32 conteggi 2 muri
;;097;CHILL FACTOR;born it to the ground;nickelback;;INTERMEDIO;;;RECENTE;Daniel Whittaker;Hayley Westhead;48 conteggi 4 muri
;;098;CHILL FACTOR;calling all the monster;china anne mcclain;;INTERMEDIO;HALLOWEEN;;RECENTE;Daniel Whittaker;Hayley Westhead;48 conteggi 4 muri
;;099;CHILL FACTOR;last night (line dance party);madison cowboy & dj robbie;;INTERMEDIO;;;RECENTE;Daniel Whittaker;Hayley Westhead;48 conteggi 4 muri
;;100;CHILL FACTOR;last night (original version);chris handerson feat dj robbie;;INTERMEDIO;;;RECENTE;Daniel Whittaker;Hayley Westhead;48 conteggi 4 muri
;;101;CHILL FACTOR;rock on;hunter;;INTERMEDIO;;;RECENTE;Daniel Whittaker;Hayley Westhead;48 conteggi 4 muri
;;102;CHOO CHOO TRAIN;baby likes to rock it;the tractors;;ALTRE COREO;;;;;;
;;103;CHOP;shut up and fish;maddie & tae;;ALTRE COREO;;;;;;
;;104;CHOP CHOP;chop chop;bruno legrizzly;;ALTRE COREO;;;;;;
;;105;CINNAMON AND BLUE;creekwater clear;charlie worsham with elle king;;ALTRE COREO;;;;;;
;;106;CITY OF MUSIC;city of music;brad paisley;;ALTRE COREO;;;;David Villelas;Séverine Fillion;
;;107;CLICKETY CLACK;southbound train;travis tritt;;AVANZATO 1;;;STUDIATA;Peter Metelnick;Kathy Hunyadi;68 conteggi 4 muri
;;108;COASTIN;lord of the dance;ronan hardiman;;ALTRE COREO;;;;;;
;;109;COFFEE;why wouldn't wanna be me;keith urban;;ALTRE COREO;;;;Algaly Fofana;;
;;110;COME MY WAY;come my way;raynes;;SUPER AVANZATO 1+2;;;;;;
;;111;COME TO DANCE;carry me to back virginia;old crow medicine show;;ALTRE COREO;CONTRA;;;Séverine Fillion;;32 conteggi 1 muro contra dance
;;112;COPPERHEAD ROAD;copperhead road;steve earle;;BASE;STAGE;;STUDIATA;Unknown;;32 conteggi 4 muri
;;113;COTTON EYED JOE;cotton eye joe;rednex;;ALTRE COREO;COPPIA;;;;;
;;114;COUNTRY AS CAN BE;call me;blondie;;BASE;;;STUDIATA;Suzanne Wilson;;32 conteggi 4 muri
;;115;COUNTRY AS CAN BE;christmas (baby please come home);lady antebellum;;BASE;NATALIZIA;;STUDIATA;Suzanne Wilson;;32 conteggi 4 muri
;;116;COUNTRY AS CAN BE;country as a boy can be;brady seals;;BASE;;;STUDIATA;Suzanne Wilson;;32 conteggi 4 muri
;;117;COUNTRY GIRL SHAKE;country girl (shake it for me);luke bryan;;ALTRE COREO;;;;;;
;;118;COUNTRY ROADS;country roads;hermes house band;;AVANZATO 2;;;STUDIATA;Kate Sala;;32 conteggi 4 muri 1 tag alla fine del 5° muro
;;119;COWBOY BIG UP;cowboy up;jill johnson;;BASE;STAGE;;STUDIATA;Big Andrew Gragnaniello;;32 conteggi 4 muri
;;120;CASANOVA COWBOY;blue christmas;sheryl crow;;INTERMEDIO;NATALIZIA;;STUDIATA;Rob Fowler;;32 conteggi 4 muri
;;121;CASANOVA COWBOY;cowboy casanova;carrie underwood;;INTERMEDIO;;;STUDIATA;Rob Fowler;;32 conteggi 4 muri
;;122;CASANOVA COWBOY;must be a woman;gord bamford;;INTERMEDIO;;;STUDIATA;Rob Fowler;;32 conteggi 4 muri
;;123;CASANOVA COWBOY;true blue;madonna;;INTERMEDIO;;;STUDIATA;Rob Fowler;;32 conteggi 4 muri
;;124;COWBOY STRUT;my next broken heart;brooks & dunn;;ALTRE COREO;;;;;;
;;125;COWBOY UP;bury the shovel;clay walker;;SUPER AVANZATO 1+2;;;;;;
;;126;CRASH AND BURN;crush and burn;thomas rhett;;BASE;;;STUDIATA;Gail Smith;;32 conteggi 4 muri
;;127;CRAZY SONG;what a song can do;lady a;;INTERMEDIO;;;;Séverine Fillion;Brayan Bogey;32 conteggi 4 muri
;;128;CUPID SHUFFLE;down south shuffle;r3 feat big robb;;ALTRE COREO;;;;;;
;;129;CUT A RUG;roxanne's bayou;billy yates;;ALTRE COREO;CONTRA;;;;;
;;130;CUT AND STRUT;suds in the bucket;sara evans;;BASE;;;STUDIATA;Unknown;;32 conteggi 4 muri
;;131;DADDY'S MONEY;daddy's money;ricochet;;ALTRE COREO;;;;Gianni Hook Valassi;;
;;132;DAMN!;damn (feat dave mustaine);brett kissel;;ALTRE COREO;;;;;;
;;133;DANCE AGAIN;standin' still;the clark family experience;;INTERMEDIO;;;STUDIATA;Adriano Castagnoli;;32 conteggi 4 muri (Restart al 4° muro dopo 28 conteggi)
;;134;DANCING VIOLINS;duelling violins;ronan hardiman;;INTERMEDIO;;;STUDIATA;Maggie Ghallager;;2 muri A A B B A A A
;;135;DARK SIDE;hell if i know;chase bryant;;BASE;;;STUDIATA;Pol F. Ryan;Lourdes Martin Marta Steve Borras Neus Lloveras Silvana;16 conteggi 4 muri
;;136;DAWNING;new day dawning;wynonna judd;;AVANZATO 2;;;;Daniel Trepat;;32 conteggi 2 muri
;;137;DAY JOB;day job;gord bamford;;ALTRE COREO;;;;;;
;;138;DEAR LIFE;dear life;high valley;;INTERMEDIO;;;RECENTE;Stefano Civa;;32 conteggi 2 muri [2 Tag di 4 counts (1°tag al 5° muro dopo 8 counts) (2°tag alla fine dell' 8 muro)]
;;139;DEVIL'S SIDE;bad side;moonlight social;;ALTRE COREO;;;;;;
;;140;DIANE;diane;cam;;ALTRE COREO;;;;;;
;;141;DIG YOUR HEELS;here's to & I;the mc clymons;;ALTRE COREO;;;;Maddison Glover;;52 conteggi 4 muri coreografia frasata
;;142;DIM THE LIGHT;the kind of love we make;luke combos;;ALTRE COREO;;;;;;
;;143;DING DANG DARN IT;din dang darn it;ken domash;;ALTRE COREO;;;;;;
;;144;DOCTOR DOCTOR;bad case of loving you;robert palmer;;INTERMEDIO;;;STUDIATA;Masters in Line;;80 conteggi 4 muri [1 restart 4°muro dopo 32 counts] [1 Tag 5°muro dopo 32 counts]
;;145;DON'T DRINK THE WATHER;don't drink the wather;brad paisley;;ALTRE COREO;;;;;;
;;146;DON'T MAKE ME BEG;don't make me beg;steve holy;;SUPER AVANZATO 1+2;;;;;;2 muri  frasata Parte A (32 counts) B (32 counts ) C (32 counts) SEQUENZA    A A B B C A A B B C C C A B B C C C
;;147;DOUBLE DUTCH;some beach;blake shelton;;ALTRE COREO;COPPIA;CERCHIO;STUDIATA;;;
;;148;DRIVEN;driven;casey james;;ALTRE COREO;;;;;;
;;149;DUTY FREE;natural disaster;zac brown band;;AVANZATO 2;;;;Esther & José;;A 20c B 38c C 16c 1muro [A BB A BB(24) CCC BB(24)]
;;150;EASY COME EASY GO;hillbilly rock hillibilly roll;die campbell;;ALTRE COREO;;;;;;
;;151;EASY TWIST;anyone can play;gle campbell;;ALTRE COREO;;;;;;
;;152;EASY WAY;just be you;billy yates;;ALTRE COREO;;;;;;
;;153;EIGHT SECOND RIDE;eight second ride;jake owen;;ALTRE COREO;;;;;;
;;154;ELECTRIC SLIDE;achy breaky heart;billy ray;;BASE;;;STUDIATA;Ric Silvern;;14 conteggi 2 muri
;;155;ELECTRIC SLIDE;jingle bell rock;rascal flatts;;BASE;NATALIZIA;;STUDIATA;Ric Silvern;;14 conteggi 2 muri
;;156;ELECTRIC SLIDE;let me be there;nathan carter;;BASE;;;STUDIATA;Ric Silvern;;14 conteggi 2 muri
;;157;ELECTRIC STOMP;long road to nashville;the woolpackers;;ALTRE COREO;;;;;;24 conteggi 4 muri
;;158;ENDLESS;less and less;travis tritt;;ALTRE COREO;;;;;;
;;159;EVERY STAR;even the stars fall for you;keith urban;;ALTRE COREO;COPPIA;;;;;
;;160;FAKE ID;fake id;big & rich;;SUPER AVANZATO 1+2;;;;;;
;;161;FEEL THE MOMENT;walla walla prison;scotty alexander;;SUPER AVANZATO 1+2;;;;David Villelas;;
