;;ID;coreografia
;;1;101
;;17;A SWING TO QUIT
;;23;ALL TO MYSELF
;;24;ALTITUDE
;;25;AMERICAN KIDS
;;26;ANGEL & CORONA
;;27;ANTHEM
;;28;ANYWAY
;;29;AROUND THE FIRE
;;30;ASKIN' QUESTIONS
;;31;AUSTIN
;;32;AUTHORITY
;;33;AW NAW
;;34;BACK DOWN
;;35;BAD
;;36;BEAUTIFUL DRUG
;;37;BEER FOR MY HORSES
;;38;BEETHOVEN'S BOOGIE
;;39;BEST ADVENTURE
;;40;BETTER COUNTRY
;;41;BILL'S BASIC
;;42;BILL'S BASIC
;;43;BILL'S BASIC
;;44;BILL'S BASIC
;;45;BILLBOARD 
;;46;BLACK COFFEE
;;47;BLACK COFFEE
;;48;BLACK COFFEE
;;49;BLACK COFFEE
;;50;BLACK COFFEE
;;51;BLACK COFFEE
;;52;BLACK COFFEE
;;53;BLACK COFFEE
;;54;BOOMERANG
;;55;BOOTY TO THE FLOOR
;;56;BOOZE CRUISE
;;57;BORN FREE
;;58;BORN TO BE GREAT
;;59;BORROW MY HEART
;;60;BRING DOWN THE HOUSE
;;61;BROKEN HEELS
;;62;BRUNCH
;;63;BUDDY
;;64;BUILD A FIRE
;;65;BURNIN' UP
;;66;BURNING LOVE
;;67;BURNING THE DAY
;;68;BUSH PARTY
;;69;BY AND BY
;;70;CABO SAN LUCAS
;;71;CABO SAN LUCAS
;;72;CANDY KISS
;;73;CANDY KISS
;;74;CANDY KISS
;;75;CASTAWAY
;;76;CENTURION
;;77;CHA CHA SLIDE
;;78;CHANGING DANCE BARN DANCE
;;79;CHANGING DANCE BARN DANCE
;;80;CHANGING POLKA
;;81;CHASING DOWN A GOOD TIME
;;82;CHECK IN
;;83;CHECK IT OUT
;;84;CHEEK TO CHEEK
;;85;CHEEK TO CHEEK
;;86;CHEERLEADER
;;87;CHEYENNE
;;88;CHEYENNE
;;89;CHEYENNE
;;90;CHEYENNE
;;91;CHEYENNE
;;92;CHEYENNE
;;93;CHEYENNE
;;94;CHEYENNE
;;95;CHEYENNE
;;96;CHEYENNE'S ROCK
;;97;CHILL FACTOR
;;98;CHILL FACTOR
;;99;CHILL FACTOR
;;100;CHILL FACTOR
;;101;CHILL FACTOR
;;102;CHOO CHOO TRAIN
;;103;CHOP
;;104;CHOP CHOP
;;105;CINNAMON AND BLUE
;;106;CITY OF MUSIC
;;107;CLICKETY CLACK
;;108;COASTIN
;;109;COFFEE
;;110;COME MY WAY
;;111;COME TO DANCE
;;112;COPPERHEAD ROAD
;;113;COTTON EYED JOE
;;114;COUNTRY AS CAN BE
;;115;COUNTRY AS CAN BE
;;116;COUNTRY AS CAN BE
;;117;COUNTRY GIRL SHAKE
;;118;COUNTRY ROADS
;;119;COWBOY BIG UP
;;120;COWBOY CASANOVA
;;121;COWBOY CASANOVA
;;122;COWBOY CASANOVA
;;123;COWBOY CASANOVA
;;124;COWBOY STRUT
;;125;COWBOY UP
;;126;CRASH AND BURN
;;127;CRAZY SONG
;;128;CUPID SHUFFLE
;;129;CUT A RUG
;;130;CUT AND STRUT
;;131;DADDY'S MONEY
;;132;DAMN!
;;133;DANCE AGAIN
;;134;DANCING VIOLINS
;;135;DARK SIDE
;;136;DAWNING
;;137;DAY JOB
;;138;DEAR LIFE
;;139;DEVIL'S SIDE
;;140;DIANE
;;141;DIG YOUR HEELS
;;142;DIM THE LIGHT
;;143;DING DANG DARN IT
;;144;DOCTOR DOCTOR
;;145;DON'T DRINK THE WATHER
;;146;DON'T MAKE ME BEG
;;147;DOUBLE DUTCH
;;148;DRIVEN
;;149;DUTY FREE
;;150;EASY COME EASY GO
;;151;EASY TWIST
;;152;EASY WAY
;;153;EIGHT SECOND RIDE
;;154;ELECTRIC SLIDE AB
;;155;ELECTRIC SLIDE AB
;;156;ELECTRIC SLIDE AB
;;157;ELECTRIC STOMP
;;158;ENDLESS
;;159;EVERY STAR
;;160;FAKE ID
;;161;FEEL THE MOMENT
;;162;FIFTY TWO BEERS AGO
;;163;FIGHT
;;164;FINE
;;165;FIREBALL
;;166;FIRST STOMP
;;167;FIRST STOMP
;;168;FIVE MINUTES
;;169;FLASHDANCE
;;170;FLICK FLAK
;;171;FLOBIE SLIDE
;;172;FLOWERS
;;173;FOOLISH HEART
;;174;FOOTLOOSE
;;175;FOR BETTER FOR WORSE
;;176;FOREVER
;;177;FOREVER YOUNG
;;178;FORGIVE ME FRIEND
;;179;FOUR STAR BOOGIE
;;180;FRENCH KISS
;;181;FRIENDS
;;182;FROM A TO Z
;;183;FUNNY JOKE
;;184;GALWAY GATHERING
;;185;GAME ON
;;186;GET ALONG
;;187;GET UP
;;188;GHOST TOWN
;;189;GIDDY UP!
;;190;GIVE ME SHIVERS
;;191;GLASS OF WINE
;;192;GO CAT GO
;;193;GO HOME
;;194;GOD IS GOOD
;;195;GOING GOING GONE
;;196;GOLIATH
;;197;GONE FOR YOU
;;198;GOOD THINGS
;;199;GOTCHA
;;200;GRAVITY
;;201;GREAT GAMBLE
;;202;GROOVY LOVE
;;203;GROWING PAINS
;;204;WALKING THE LINE
;;205;HALLELUL Y'ALL
;;206;HALLELUJAH (Castagnoli)
;;207;HAND SHAKE
;;208;HEAD OR TAILS
;;209;HEADIN WEST
;;210;HEART ATTACK
;;211;HEAVEN ON DIRT
;;212;HEEL AND TOE POLKA
;;213;HEYDAY TONIGHT
;;214;HILLBILLY GIRL
;;215;HOLD
;;216;HOLD ON TO ME
;;217;HOLD YOUR HORSES
;;218;HOLLY'S CHURCH
