Codice Regione,Codice Città Metropolitana,Codice Provincia (1),Progressivo del Comune (2),Codice Comune formato alfanumerico,Denominazione in italiano,Denominazione altra lingua,Codice Ripartizione Geografica,Ripartizione geografica,Denominazione regione,Denominazione Città metropolitana,Denominazione provincia,Flag Comune capoluogo di provincia,Sigla automobilistica,Codice Comune formato numerico,Codice Comune numerico con 110 province (dal 2010 al 2016),Codice Comune numerico con 107 province (dal 2006 al 2009),Codice Comune numerico con 103 province (dal 1995 al 2005),Codice Catastale del comune,Popolazione legale 2011 (09/10/2011),Codice NUTS1 2010,Codice NUTS2 2010 (3) ,Codice NUTS3 2010,Codice NUTS1 2006,Codice NUTS2 2006 (3),Codice NUTS3 2006
03,-,012, 001 ,012001,Agra,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12001,12001,12001,12001,A085,379,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 002 ,012002,Albizzate,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12002,12002,12002,12002,A167,5.292,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 003 ,012003,Angera,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12003,12003,12003,12003,A290,5.622,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 004 ,012004,Arcisate,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12004,12004,12004,12004,A371,9.850,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 005 ,012005,Arsago Seprio,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12005,12005,12005,12005,A441,4.845,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 006 ,012006,Azzate,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12006,12006,12006,12006,A531,4.554,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 007 ,012007,Azzio,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12007,12007,12007,12007,A532,802,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 008 ,012008,Barasso,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12008,12008,12008,12008,A619,1.710,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 009 ,012009,Bardello,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12009,12009,12009,12009,A645,1.550,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 010 ,012010,Bedero Valcuvia,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12010,12010,12010,12010,A728,667,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 011 ,012011,Besano,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12011,12011,12011,12011,A819,2.603,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 012 ,012012,Besnate,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12012,12012,12012,12012,A825,5.464,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 013 ,012013,Besozzo,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12013,12013,12013,12013,A826,8.994,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 014 ,012014,Biandronno,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12014,12014,12014,12014,A845,3.285,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 015 ,012015,Bisuschio,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12015,12015,12015,12015,A891,4.267,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 016 ,012016,Bodio Lomnago,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12016,12016,12016,12016,A918,2.119,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 017 ,012017,Brebbia,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12017,12017,12017,12017,B126,3.362,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 018 ,012018,Bregano,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12018,12018,12018,12018,B131,839,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 019 ,012019,Brenta,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12019,12019,12019,12019,B150,1.798,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 020 ,012020,Brezzo di Bedero,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12020,12020,12020,12020,B166,1.185,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 021 ,012021,Brinzio,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12021,12021,12021,12021,B182,873,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 022 ,012022,Brissago-Valtravaglia,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12022,12022,12022,12022,B191,1.250,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 023 ,012023,Brunello,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12023,12023,12023,12023,B219,1.030,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 024 ,012024,Brusimpiano,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12024,12024,12024,12024,B228,1.208,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 025 ,012025,Buguggiate,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12025,12025,12025,12025,B258,3.115,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 026 ,012026,Busto Arsizio,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12026,12026,12026,12026,B300,79.692,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 027 ,012027,Cadegliano-Viconago,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12027,12027,12027,12027,B326,1.867,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 028 ,012028,Cadrezzate,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12028,12028,12028,12028,B347,1.818,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 029 ,012029,Cairate,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12029,12029,12029,12029,B368,7.830,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 030 ,012030,Cantello,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12030,12030,12030,12030,B634,4.569,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 031 ,012031,Caravate,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12031,12031,12031,12031,B732,2.612,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 032 ,012032,Cardano al Campo,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12032,12032,12032,12032,B754,14.136,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 033 ,012033,Carnago,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12033,12033,12033,12033,B796,6.502,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 034 ,012034,Caronno Pertusella,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12034,12034,12034,12034,B805,16.397,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 035 ,012035,Caronno Varesino,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12035,12035,12035,12035,B807,4.940,ITC,ITC4,ITC41,ITC,ITC4,ITC41
03,-,012, 036 ,012036,Casale Litta,,1,Nord-ovest,Lombardia,-,Varese,0,VA,12036,12036,12036,12036,B875,2.652,ITC,ITC4,ITC41,ITC,ITC4,ITC41
