"rootPath","scannedAt","relativePath","fileName","baseName","fullPath","extension","size","modifiedAt"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(101) I like it, I love it,- Tim Mc Graw.mp3","(101) I like it, I love it,- Tim Mc Graw.mp3","(101) I like it, I love it,- Tim Mc Graw","C:\VSC_MP3\(101) I like it, I love it,- Tim Mc Graw.mp3",".mp3","5812408","2026-08-25T11:41:59.963Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(16 STEPS-ELECTRIC STOMP-WESTERN STYLE) - Louisiana.mp3","(16 STEPS-ELECTRIC STOMP-WESTERN STYLE) - Louisiana.mp3","(16 STEPS-ELECTRIC STOMP-WESTERN STYLE) - Louisiana","C:\VSC_MP3\(16 STEPS-ELECTRIC STOMP-WESTERN STYLE) - Louisiana.mp3",".mp3","5474810","2026-08-25T11:41:59.919Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(BLACK COFFEE) Lacy J Dalton.mp3","(BLACK COFFEE) Lacy J Dalton.mp3","(BLACK COFFEE) Lacy J Dalton","C:\VSC_MP3\(BLACK COFFEE) Lacy J Dalton.mp3",".mp3","5196193","2026-08-25T11:42:00.003Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(BLACK COFFEE) Last Christmas.mp3","(BLACK COFFEE) Last Christmas.mp3","(BLACK COFFEE) Last Christmas","C:\VSC_MP3\(BLACK COFFEE) Last Christmas.mp3",".mp3","5983499","2026-08-25T11:42:00.051Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(BLACK COFFEE) Mariah Carey-All I Want For Christmas Is You.mp3","(BLACK COFFEE) Mariah Carey-All I Want For Christmas Is You.mp3","(BLACK COFFEE) Mariah Carey-All I Want For Christmas Is You","C:\VSC_MP3\(BLACK COFFEE) Mariah Carey-All I Want For Christmas Is You.mp3",".mp3","5906305","2026-08-25T11:42:00.105Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(BLACK COFFEE)-shania_twain-party_for_two_(with_billy_currington)-ego.mp3","(BLACK COFFEE)-shania_twain-party_for_two_(with_billy_currington)-ego.mp3","(BLACK COFFEE)-shania_twain-party_for_two_(with_billy_currington)-ego","C:\VSC_MP3\(BLACK COFFEE)-shania_twain-party_for_two_(with_billy_currington)-ego.mp3",".mp3","5976980","2026-08-25T11:41:56.301Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(CANDY KISS) Bottoms Up (feat. T.I.) [Remix] copia.mp3","(CANDY KISS) Bottoms Up (feat. T.I.) [Remix] copia.mp3","(CANDY KISS) Bottoms Up (feat. T.I.) [Remix] copia","C:\VSC_MP3\(CANDY KISS) Bottoms Up (feat. T.I.) [Remix] copia.mp3",".mp3","5503330","2026-08-25T11:41:56.349Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(CANDY KISS) Kick the Dust Up.mp3","(CANDY KISS) Kick the Dust Up.mp3","(CANDY KISS) Kick the Dust Up","C:\VSC_MP3\(CANDY KISS) Kick the Dust Up.mp3",".mp3","4580748","2026-08-25T11:41:56.384Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(CANDY KISSES-SWEET HOME ALABAMA) Sweet Home Alabama.mp3","(CANDY KISSES-SWEET HOME ALABAMA) Sweet Home Alabama.mp3","(CANDY KISSES-SWEET HOME ALABAMA) Sweet Home Alabama","C:\VSC_MP3\(CANDY KISSES-SWEET HOME ALABAMA) Sweet Home Alabama.mp3",".mp3","8531014","2026-08-25T11:41:56.439Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(CHANGING DANCE) All Over Again 2.mp3","(CHANGING DANCE) All Over Again 2.mp3","(CHANGING DANCE) All Over Again 2","C:\VSC_MP3\(CHANGING DANCE) All Over Again 2.mp3",".mp3","5970755","2026-08-25T11:41:56.482Z"
