DISPLAY: COREOGRAFIE RICHIESTE,,,,,
Data: 25/07/2026   |   File: Borderò - ver 13.1.72.xlsm   |   Origine: borderò,,,,,
?,ID,Coreografia,Brano,Autore,Coreografo
,022,ALL SHOOK UP,all shook up,billy joel,Naomi Fleetwood Pyle
,037,BEER FOR MY HORSES,beer for my horses,toby keith & willie nelson,Christine Bass
,039,BEST ADVENTURE,best adventure,leaving thomas,Johnny Rossato
,060,BRING DOWN THE HOUSE,bring down the house,dean brody,Sthépane Cormier
,066,BURNING LOVE,burning love,travis tritt,Christian Sildatke
,070,CABO SAN LUCAS,all i want for christmas is a real good than,kenny chesney,Reo Ghazali
,076,CENTURION,my heart's broke down,dean miller,Rob Fowler
,081,CHASING DOWN A GOOD TIME,chasing down a good time,randy houser,Dan Albro
,084,CHEEK TO CHEEK,bailando,enrique iglesias,Rob Fowler
,097,CHILL FACTOR,born it to the ground,nickelback,Daniel Whittaker
,107,CLICKETY CLACK,southbound train,travis tritt,Peter Metelnick
,120,CASANOVA COWBOY,blue christmas,sheryl crow,Rob Fowler
,133,DANCE AGAIN,standin' still,the clark family experience,Adriano Castagnoli
,138,DEAR LIFE,dear life,high valley,Stefano Civa
,144,DOCTOR DOCTOR,bad case of loving you,robert palmer,Masters in Line
,150,EASY COME EASY GO,hillbilly rock hillibilly roll,die campbell,
,178,FORGIVE ME FRIEND,forgive me friend,smith & thell,Helena Jeppsson
,191,GLASS OF WINE,cry to me,kilotile,Malene Jakobsen
,200,GRAVITY,gravity,stephen kellog & the sixers,The Dreamers
,204,WALKIN' THE LINE,blown away ,carrie underwood,Unknown
,205,HALLELUL Y'ALL,halleluy'all,bomshel,Chris Jones
,206,HALLELUJAH,joy's gonna come,the kingsmen,Adriano Castagnoli
,215,HOLD,maybe i shouldn't,matt borden,Jgor Pasin
,235,IT'S AMERICA,it's america,rodney atkins,Gaye Teather
,266,LONELY DRUM,lonely drum,aaron goodvin,Darren Mitchell
,277,ME AND JOHNNY CASH,me and jhonny cash,rainey qualley,Barry Amato
,285,MR POLICEMAN,mr. policeman,brad paisley,Ria Vos
,304,NOTHING LIKE THIS,ain't seen nothing,paper kings,Nans Istria
,311,OVERRATED,overrated,tim mcgraw,Alessandro Boer
,329,QUITTER,quitter,carrie underwood,Maggie Ghallager
,354,SEVEN,seven drunken nights,mike denver,Stefano Civa
,365,SKIFFLE TIME,mama don't alow,the jive aces,Darren Bailey
,369,SOMETHING FINE,something in the water,brooke fraser,Dan Albro
,381,STORM AND STONE,run,storm & stone,Maddison Glover
,388,SUNSET,you belong with me,taylor swift,C B S LOUJO
,395,TAKE ME TO NEW YORK,long live the night,the reklaws,Johnny Rossato
,415,TOMORROW NEVER COMES,tomorrow never comes,zac brown band,Fabio Terzoni
,432,UNTAMED,untamed,cam,Alessandro Boer
,457,WHISKEY WIGGLE,every little thing,carlene carter,Joyce Warren
,458,WHITE SOLDIER,when i'm gone,the wild horses,Pol F. Ryan
,466,YA COME DOWN,wont't ya come down,derek ryan,Teo Lattanzio
,498,DELICIOUS,didn't I,dasha,Pol F. Ryan
,500,STILL GONE,still gonna be,brandon davies,Pol F. Ryan
,510,MY CINDERELLA,cinderella,dan davidson,David Villelas
,514,WILD,where the wild things are,luke combs,Isabella Ghinolfi
,526,RETRO,i feel it in the wind,smith & thell,Gusella Paolo
,531,NICE TO MEET YOU,nice to meet you,myles smith feat lainey wilson,Gia Caparros
,538,SWISS GUY,swiss guy,florian fox,Fabian Muller
,547,C A R E,the last shanty,derina harvey band,Fabian Muller
,550,THE THING I LOVE,the thing i love,max & andy grammer,Johnny Rossato
,551,HOT CHOCOLATE,bed dreams,teddy swims,Sara Sofia Katia Margherita
,552,BLUE CHAIRS,two blue chairs & you,zac brown band,Alessandro Boer
,558,MILES ON IT,miles on it,marshmello & kane brown,Andrea Hayes
,567,KINGDOM OF FEAR,kingdom of fear,cameron whitcomb,Johnny Rossato
,569,PIM PAM,sixteen tons,tennessee ernie ford,
,,,,,
,,,,,
